precinct,phone,address,location
1st Precinct,212-334-0611,16 Ericsson Place,"(40.7205994, -74.0083416)"
5th Precinct,212-334-0711,19 Elizabeth Street,"(40.7161816, -73.9974633)"
6th Precinct,212-741-4811,233 West 10 Street,"(40.73657625, -73.98854288222026)"
7th Precinct,212-477-7311,19 1/2 Pitt Street,"(40.7162871, -73.9837703)"
9th Precinct,212-477-7811,321 East 5 Street,"(40.7210513, -73.9747141)"
10th Precinct,212-741-8211,230 West 20th Street,"(40.7426975, -73.99864944546474)"
13th Precinct,212-477-7411,230 East 21st Street,"(40.6487106, -73.9598669)"
th Precinct,212-239-9811,357 West 35th Street,"(40.7538182, -73.9949851)"
17th Precinct,212-826-3211,167 East 51st Street,"(40.7567621, -73.9707859)"
th Precinct,212-767-8400,306 West 54th Street,"(40.7649371, -73.9850825)"
19th Precinct,212-452-0600,153 East 67th Street,"(40.7670729, -73.9638697)"
20th Precinct,212-580-6411,120 West 82nd Street,"(40.7841202, -73.9750749)"
Central Park Precinct,212-570-4820,86th St & Transverse Road,"(40.7849002, -73.9680694)"
23rd Precinct,212-860-6411,164 East 102nd Street,"(40.7891815, -73.9472169)"
24th Precinct,212-678-1811,151 West 100th Street,"(40.7964779, -73.967428)"
25th Precinct,212-860-6511,120 East 119th Street,"(40.80069235, -73.94111874373155)"
26th Precinct,212-678-1311,520 West 126th Street,"(40.81469, -73.95653594153396)"
28th Precinct,212-678-1611,2271-89 8th Avenue,"(40.8009975, -73.9578818)"
30th Precinct,212-690-8811,451 West 151st Street,"(40.8288745, -73.94377772909826)"
32nd Precinct,212-690-6311,250 West 135th Street,"(40.8157476, -73.9453969)"
33rd Precinct,212-927-3200,2207 Amsterdam Avenue,"(40.8405867, -73.93573663316083)"
34th Precinct,212-927-9711,4295 Broadway,"(40.851467, -73.9353245)"
40th Precinct,718-402-2270,257 Alexander Avenue,"(40.8103299, -73.925216)"
41st Precinct,718-542-4771,1035 Longwood Avenue,"(40.8161856, -73.895512)"
42nd Precinct,718-402-3887,830 Washington Avenue,"(40.8224393, -73.9113094)"
43rd Precinct,718-542-0888,900 Fteley Avenue,"(40.822877, -73.8698072)"
44th Precinct,718-590-5511,2 East 169th Street,"(40.8376206, -73.9195052)"
45th Precinct,718-822-5411,2877 Barkley Avenue,"(40.830843099999996, -73.82732281338933)"
46th Precinct,718-220-5211,2120 Ryer Avenue,"(40.8540411, -73.9001068)"
47th Precinct,718-920-1211,4111 Laconia Avenue,"(40.8875, -73.8475)"
48th Precinct,718-299-3900,450 Cross Bronx Expressway,"(40.8201306, -73.8139573)"
49th Precinct,718-918-2000,2121 Eastchester Road,"(40.8561111, -73.8444444)"
50th Precinct,718-543-5700,3450 Kingsbridge Avenue,"(40.8834823, -73.90241725711081)"
